product_category,total_orders,total_revenue,avg_review_score
health_beauty,8621,1413962.84,4.23
watches_gifts,5455,1257930.55,4.13
bed_bath_table,9239,1241203.08,4.0
sports_leisure,7478,1115692.71,4.24
computers_accessories,6520,1037148.01,4.08
furniture_decor,6208,884646.29,4.07
housewares,5670,754917.89,4.21
cool_stuff,3516,688757.24,4.23
auto,3804,671719.35,4.15
garden_tools,3411,566463.25,4.19
toys,3759,542567.17,4.25
baby,2794,473907.38,4.11
perfumery,3069,443016.18,4.26
telephony,4071,378264.8,4.06
office_furniture,1244,333916.11,3.66
stationery,2240,268385.99,4.31
pet_shop,1679,250686.33,4.28
computers,176,226944.65,4.24
electronics,2509,202444.19,4.13
musical_instruments,606,202032.91,4.24
